date,delivered_lumi_fb,recorded_lumi_fb,cumulative_delivered_fb,cumulative_recorded_fb
2024-05-13,0.3350317965142784,0.29559130092506636,0.3350317965142784,0.29559130092506636
2024-05-20,0.8131648263204744,0.7640516771968381,1.1481966228347527,1.0596429781219046
2024-07-02,0.8446382651253531,0.796457649176338,1.9928348879601057,1.8561006272982425
2024-07-16,1.2060471880285626,1.1153721106477796,3.198882075988668,2.971472737946022
2024-07-31,0.63718284473952,0.590574915918941,3.8360649207281883,3.562047653864963
2024-08-12,1.0482932501697815,0.9027107049048715,4.88435817089797,4.464758358769834
2024-08-24,1.2276848857277625,1.1553203503701672,6.112043056625732,5.620078709140001
2024-09-15,1.3899084219438635,1.2934418204321643,7.501951478569596,6.913520529572166
2024-10-04,1.0305807794825705,0.9356296874569624,8.532532258052168,7.849150217029128
2025-05-29,1.245861221368733,1.1213367758517974,9.7783934794209,8.970486992880925
2025-06-08,1.2674631429926237,1.1898963462391934,11.045856622413524,10.160383339120118
