det_part,timestamp,current
BPix_BmI_SEC6_LAY23_LAY2_HV,2024-08-24 19:25:26,2179.2361486
BPix_BmI_SEC6_LAY23_LAY2_HV,2024-09-15 02:31:14,2408.88131313
BPix_BmI_SEC6_LAY23_LAY2_HV,2024-10-04 17:30:37,2496.3670669
BPix_BmI_SEC6_LAY23_LAY2_HV,2025-05-29 09:29:25,2467.06332637
BPix_BmI_SEC6_LAY23_LAY2_HV,2025-06-08 03:59:31,2589.78345725
FPix_BmO_D1_ROG1_RNG1_HV,2024-05-13 00:55:48,1325.03846154
FPix_BmO_D1_ROG1_RNG1_HV,2024-05-20 22:25:56,1355.30555556
FPix_BmO_D1_ROG1_RNG1_HV,2024-07-02 01:33:57,1646.2866242
FPix_BmO_D1_ROG1_RNG1_HV,2024-07-16 06:57:48,1748.35064935
FPix_BmO_D1_ROG1_RNG1_HV,2024-07-31 00:05:49,1926.5
FPix_BmO_D1_ROG1_RNG1_HV,2024-08-12 22:45:43,2043.4754717
FPix_BmO_D1_ROG1_RNG1_HV,2024-08-24 18:34:33,2003.43146274
FPix_BmO_D1_ROG1_RNG1_HV,2024-09-15 02:31:55,2281.80906149
FPix_BmO_D1_ROG1_RNG1_HV,2024-10-04 17:17:13,2349.40419948
FPix_BmO_D1_ROG1_RNG1_HV,2025-05-29 09:22:45,2260.41509434
FPix_BmO_D1_ROG1_RNG1_HV,2025-06-08 03:59:27,2487.13373253
BPix_BpO_SEC4_LAY23_LAY3_HV,2024-05-13 00:31:07,4564.20296643
BPix_BpO_SEC4_LAY23_LAY3_HV,2024-05-20 22:30:16,4562.32986111
BPix_BpO_SEC4_LAY23_LAY3_HV,2024-07-02 01:30:05,5380.08655275
BPix_BpO_SEC4_LAY23_LAY3_HV,2024-07-16 07:00:55,5709.40612557
BPix_BpO_SEC4_LAY23_LAY3_HV,2024-07-31 00:15:46,6360.24431663
BPix_BpO_SEC4_LAY23_LAY3_HV,2024-08-12 22:59:45,6795.23469684
BPix_BpO_SEC4_LAY23_LAY3_HV,2024-08-24 19:24:34,6944.31736884
BPix_BpO_SEC4_LAY23_LAY3_HV,2024-09-15 02:29:37,7792.0171442
BPix_BpO_SEC4_LAY23_LAY3_HV,2024-10-04 17:31:22,8318.24982715
BPix_BpO_SEC4_LAY23_LAY3_HV,2025-05-29 09:29:28,8377.0425801
BPix_BpO_SEC4_LAY23_LAY3_HV,2025-06-08 03:59:56,9469.4743083
BPix_BpI_SEC3_LAY23_LAY3_HV,2024-05-13 00:30:46,1697.30663329
BPix_BpI_SEC3_LAY23_LAY3_HV,2024-05-20 22:30:54,1684.39770554
BPix_BpI_SEC3_LAY23_LAY3_HV,2024-07-02 01:30:28,1958.77742749
BPix_BpI_SEC3_LAY23_LAY3_HV,2024-07-16 07:00:35,2101.54091132
BPix_BpI_SEC3_LAY23_LAY3_HV,2024-07-31 00:16:01,2332.50368852
BPix_BpI_SEC3_LAY23_LAY3_HV,2024-08-12 23:00:27,2478.66794218
BPix_BpI_SEC3_LAY23_LAY3_HV,2024-08-24 19:24:56,2546.19277786
BPix_BpI_SEC3_LAY23_LAY3_HV,2024-09-15 02:29:55,2824.63084866
BPix_BpI_SEC3_LAY23_LAY3_HV,2024-10-04 17:29:32,2950.85602748
BPix_BpI_SEC3_LAY23_LAY3_HV,2025-05-29 09:29:26,2900.38922889
BPix_BpI_SEC3_LAY23_LAY3_HV,2025-06-08 04:00:18,3189.47117794
BPix_BpO_SEC6_LAY14_LAY4_HV,2024-05-13 00:32:27,1220.79245283
BPix_BpO_SEC6_LAY14_LAY4_HV,2024-05-20 22:28:46,1232.98533724
BPix_BpO_SEC6_LAY14_LAY4_HV,2024-07-02 01:31:33,1393.95009416
BPix_BpO_SEC6_LAY14_LAY4_HV,2024-07-16 07:01:12,1519.3248227
BPix_BpO_SEC6_LAY14_LAY4_HV,2024-07-31 00:16:06,1690.64705882
BPix_BpO_SEC6_LAY14_LAY4_HV,2024-08-12 22:59:53,1802.59547124
BPix_BpO_SEC6_LAY14_LAY4_HV,2024-08-24 19:29:54,1848.02876905
BPix_BpO_SEC6_LAY14_LAY4_HV,2024-09-15 02:30:19,2062.9758027
BPix_BpO_SEC6_LAY14_LAY4_HV,2024-10-04 17:27:33,2122.23242349
BPix_BpO_SEC6_LAY14_LAY4_HV,2025-05-29 09:30:37,1979.59123435
BPix_BpO_SEC6_LAY14_LAY4_HV,2025-06-08 03:58:26,2088.76811594
BPix_BpO_SEC3_LAY14_LAY4_HV,2024-05-13 00:33:12,1269.62270451
BPix_BpO_SEC3_LAY14_LAY4_HV,2024-05-20 22:29:22,1282.71782178
